image_name,overall_quality,quality_pattern,final_label,processing_time_sec,recommendations
OD_11592159.jpg,,,BAD,0,
OD_11592210.jpg,,,BAD,0,
OD_11592224.jpg,,,BAD,0,
OD_11592300.jpg,,,BAD,0,
OD_11592310.jpg,,,BAD,0,
OD_11592343.jpg,,,BAD,0,
OD_11592372.jpg,,,BAD,0,
OD_11592381.jpg,,,BAD,0,
OD_11592409.jpg,,,BAD,0,
OD_11592448.jpg,,,BAD,0,
OD_11592452.jpg,,,BAD,0,
OD_11592458.jpg,,,BAD,0,
OD_11592498.jpg,,,BAD,0,
OD_11592540.jpg,,,BAD,0,
OD_11592568.jpg,,,BAD,0,
OD_11592592.jpg,,,BAD,0,
OD_11592619.jpg,,,BAD,0,
OD_11592629.jpg,,,BAD,0,
OD_11592726.jpg,,,BAD,0,
OD_11592746.jpg,,,BAD,0,
OD_11592771.jpg,,,BAD,0,
OD_11592822.jpg,,,BAD,0,
OD_11592838.jpg,,,BAD,0,
OD_11593065.jpg,,,BAD,0,
OD_11593068.jpg,,,BAD,0,
OD_11593069.jpg,,,BAD,0,
OD_11593090.jpg,,,BAD,0,
OD_11593099.jpg,,,BAD,0,
OD_11593107.jpg,,,BAD,0,
OD_11593110.jpg,,,BAD,0,
OD_11593116.jpg,,,BAD,0,
OD_11593117.jpg,,,BAD,0,
OD_11593121.jpg,,,BAD,0,
OD_11593206.jpg,,,BAD,0,
OD_11593374.jpg,,,BAD,0,
OD_11593382.jpg,,,BAD,0,
OD_11593402.jpg,,,BAD,0,
OD_11593423.jpg,,,BAD,0,
OD_11593425.jpg,,,BAD,0,
OD_11593431.jpg,,,BAD,0,
OD_11593483.jpg,,,BAD,0,
OD_11593517.jpg,,,BAD,0,
OD_11593533.jpg,,,BAD,0,
OD_11593615.jpg,,,BAD,0,
OD_11593627.jpg,,,BAD,0,
OD_11593677.jpg,,,BAD,0,
OD_11593705.jpg,,,BAD,0,
OD_11593713.jpg,,,BAD,0,
OD_11593753.jpg,,,BAD,0,
